Profile: allExchangesTenMins
Exchanges: Anxhk, Bit-x, Bitbay, Bitfinex, Bitkonan, Bitstamp, Btce, Campbx, Cex, Coinbase, Cointrader, Exmo, Gatecoin, Gemini, Hitbtc, Itbit, Kraken, Lakebtc, Okcoin, Rock, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid80000, Ask80000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio80000, BidRatio100000, 
2016-03-23 20:11:58, 41565845,89244, 420.85, 410.76, 419.07, 415.57, 418.23, 418.01, 416.72, 420.09, 414.86, 424.86, 410.13, 435.44, 389.49, False, -0.006, -0.002, 0.0, 0.004, 0.008, 0.019, 0.069, 
2016-03-23 20:22:22, 33074509,94275, 419.08, 410.69, 419.08, 415.26, 418.33, 417.7, 416.85, 419.93, 412.59, 424.74, 382.46, 431.12, 328.88, False, -0.002, -0.002, 0.0, 0.004, 0.014, 0.086, 0.214, 
2016-03-23 20:32:47, 32211786,94648, 419.11, 410.74, 419.11, 415.43, 418.35, 417.73, 416.64, 419.92, 412.02, 424.72, 375.37, 430.93, 310.62, False, -0.002, -0.002, 0.0, 0.004, 0.015, 0.103, 0.258, 
2016-03-23 20:43:25, 33692211,88750, 422.11, 410.62, 419.15, 415.34, 418.34, 417.77, 416.81, 420.04, 413.44, 424.82, 386.64, 436.4, 335.38, False, -0.009, -0.002, 0.0, 0.004, 0.012, 0.076, 0.198, 
2016-03-23 20:53:57, 33613954,93685, 419.33, 409.93, 419.16, 415.59, 418.67, 417.73, 416.94, 419.99, 413.39, 424.79, 386.12, 431.65, 334.7, False, -0.002, -0.001, 0.0, 0.004, 0.013, 0.078, 0.201, 
2016-03-23 21:04:26, 30903716,93698, 422.39, 410.24, 419.43, 415.34, 418.71, 417.99, 416.76, 420.08, 410.56, 424.81, 365.63, 431.6, 307.39, False, -0.009, -0.002, 0.0, 0.005, 0.019, 0.127, 0.266, 
2016-03-23 21:14:44, 33699754,89436, 420.54, 410.29, 419.2, 415.36, 419.03, 417.95, 416.91, 420.02, 413.52, 424.73, 386.65, 435.11, 335.4, False, -0.004, -0.0, 0.0, 0.005, 0.013, 0.077, 0.2, 
2016-03-23 21:24:58, 34022613,89546, 419.04, 410.25, 419.03, 415.22, 419.03, 417.89, 416.91, 420.06, 413.49, 424.75, 388.73, 434.89, 336.23, False, -0.0, 0.0, 0.0, 0.005, 0.013, 0.072, 0.198, 
2016-03-23 21:35:19, 33991866,88618, 419.77, 399.94, 419.04, 415.17, 419.03, 417.91, 417.07, 420.07, 413.57, 424.8, 388.49, 436.61, 336.24, False, -0.002, -0.0, 0.0, 0.005, 0.013, 0.073, 0.198, 
2016-03-23 21:45:40, 34007793,89043, 420.42, 412.14, 419.03, 415.28, 419.02, 418.16, 417.13, 420.08, 413.74, 424.78, 388.69, 436.27, 336.27, False, -0.003, -0.0, 0.0, 0.005, 0.013, 0.072, 0.197, 
2016-03-23 21:56:04, 37599507,88950, 420.42, 411.3, 419.03, 415.31, 419.02, 417.97, 417.04, 420.03, 414.63, 424.73, 403.58, 436.21, 363.78, False, -0.003, -0.0, 0.0, 0.005, 0.01, 0.037, 0.132, 
2016-03-23 22:06:17, 37443828,89102, 420.67, 406.8, 419.06, 415.23, 419.04, 418.24, 417.12, 420.08, 414.63, 424.78, 403.16, 436.27, 363.58, False, -0.004, -0.0, 0.0, 0.005, 0.011, 0.038, 0.132, 
2016-03-23 22:16:31, 37607023,88201, 419.21, 409.6, 419.21, 415.26, 419.04, 418.03, 417.07, 420.07, 414.63, 424.8, 403.56, 437.27, 363.77, False, -0.0, -0.0, 0.0, 0.005, 0.011, 0.037, 0.132, 
